x_value,total_1,total_2
0,85.00,1023
1,85.00,1023
2,85.00,1023
3,85.00,1023
4,85.00,1023
5,85.00,1023
6,85.00,1023
7,85.00,1023
8,85.00,1023
9,85.00,1023
10,85.00,1023
11,85.00,918
12,85.00,799
13,85.00,795
14,85.00,795
15,85.00,795
16,85.00,982
17,85.00,1023
18,85.00,743
19,85.00,377
20,85.00,54
21,85.00,0
22,85.00,6
23,85.00,145
24,85.00,145
25,85.00,145
26,85.00,146
27,85.00,145
28,85.00,145
29,85.00,146
30,85.00,146
31,85.00,145
32,85.00,146
33,85.00,146
34,85.00,146
35,85.00,145
36,85.00,146
37,85.00,146
38,85.00,146
39,85.00,146
40,85.00,145
41,85.00,146
42,85.00,146
43,85.00,145
44,85.00,145
45,85.00,145
46,85.00,145
47,85.00,145
48,85.00,145
49,85.00,145
50,85.00,145
51,85.00,146
52,85.00,145
53,85.00,145
54,85.00,146
55,85.00,146
56,85.00,145
57,85.00,145
58,85.00,145
59,85.00,146
60,85.00,146
61,85.00,145
62,85.00,145
63,85.00,145
64,85.00,145
65,85.00,145
66,85.00,145
67,85.00,145
68,85.00,145
69,85.00,145
70,85.00,145
71,85.00,146
72,85.00,145
74,85.00,146
75,85.00,145
76,85.00,146
77,85.00,145
78,85.00,146
79,85.00,145
80,85.00,145
81,85.00,145
82,85.00,145
83,85.00,145
84,85.00,145
85,85.00,145
86,85.00,145
87,85.00,145
88,85.00,145
89,85.00,145
90,85.00,145
91,85.00,145
92,85.00,145
93,85.00,145
94,85.00,145
95,85.00,145
96,85.00,145
97,85.00,145
98,85.00,145
99,85.00,145
100,85.00,145
101,85.00,145
102,85.00,145
103,85.00,145
104,85.00,145
105,85.00,146
106,85.00,145
107,85.00,145
108,85.00,145
109,85.00,145
110,85.00,145
111,85.00,145
112,85.00,145
113,85.00,145
114,85.00,145
115,85.00,145
116,85.00,145
117,85.00,145
118,85.00,146
119,85.00,145
120,85.00,145
121,85.00,145
122,85.00,145
123,85.00,145
124,85.00,145
125,85.00,146
126,85.00,145
127,85.00,145
128,85.00,145
129,85.00,145
130,85.00,145
131,85.00,145
132,85.00,145
133,85.00,145
134,85.00,145
135,85.00,145
136,85.00,145
137,85.00,146
138,85.00,145
139,85.00,145
140,85.00,145
141,85.00,144
142,85.00,145
143,85.00,145
144,85.00,145
145,85.00,145
146,85.00,146
147,85.00,145
148,85.00,146
149,85.00,146
150,85.00,145
152,85.00,145
153,85.00,145
154,85.00,145
155,85.00,145
156,85.00,146
157,85.00,145
158,85.00,145
159,85.00,145
160,85.00,145
161,85.00,145
162,85.00,145
163,85.00,145
164,85.00,145
165,85.00,145
166,85.00,145
167,85.00,145
168,85.00,145
169,85.00,145
170,85.00,145
171,85.00,145
172,85.00,145
173,85.00,145
174,85.00,145
175,85.00,145
176,85.00,145
177,85.00,145
178,85.00,145
179,85.00,145
180,85.00,145
181,85.00,144
182,85.00,146
183,85.00,145
184,85.00,145
185,85.00,145
186,85.00,145
187,85.00,145
188,85.00,145
189,85.00,145
190,85.00,145
191,85.00,145
192,85.00,145
193,85.00,145
194,85.00,145
195,85.00,145
196,85.00,145
197,85.00,145
198,85.00,145
199,85.00,145
200,85.00,145
201,85.00,145
202,85.00,145
203,85.00,145
204,85.00,145
205,85.00,145
206,85.00,145
207,85.00,145
208,85.00,145
209,85.00,145
210,85.00,145
211,85.00,145
212,85.00,145
213,85.00,145
214,85.00,145
215,85.00,145
216,85.00,145
217,85.00,145
218,85.00,145
219,85.00,145
220,85.00,146
221,85.00,145
222,85.00,145
223,85.00,146
224,85.00,145
225,85.00,145
226,85.00,145
227,85.00,145
229,85.00,145
230,85.00,145
231,85.00,145
232,85.00,146
233,85.00,145
234,85.00,145
235,85.00,145
236,85.00,145
237,85.00,145
238,85.00,145
239,85.00,145
240,85.00,145
241,85.00,145
242,85.00,145
243,85.00,145
244,85.00,145
245,85.00,145
246,85.00,145
247,85.00,145
248,85.00,145
249,85.00,145
250,85.00,145
251,85.00,145
252,85.00,145
253,85.00,145
254,85.00,145
255,85.00,145
256,85.00,145
257,85.00,145
258,85.00,146
259,85.00,145
260,85.00,145
261,85.00,145
262,85.00,145
263,85.00,145
264,85.00,145
265,85.00,145
266,85.00,145
267,85.00,145
268,85.00,145
269,85.00,145
270,85.00,145
271,85.00,145
272,85.00,145
273,85.00,145
274,85.00,145
275,85.00,145
276,85.00,145
277,85.00,145
278,85.00,145
279,85.00,145
280,85.00,145
281,85.00,145
282,85.00,145
283,85.00,145
284,85.00,145
285,85.00,145
286,85.00,145
287,85.00,145
288,85.00,145
289,85.00,144
290,85.00,145
291,85.00,145
292,85.00,145
293,85.00,145
294,85.00,145
295,85.00,145
296,85.00,145
297,85.00,145
298,85.00,145
299,85.00,145
300,85.00,145
301,85.00,145
302,85.00,145
303,85.00,145
304,85.00,145
305,85.00,145
307,85.00,144
308,85.00,145
309,85.00,145
310,85.00,145
311,85.00,145
312,85.00,145
313,85.00,145
314,85.00,145
315,85.00,145
316,85.00,145
317,85.00,145
318,85.00,145
319,85.00,145
320,85.00,145
321,85.00,145
322,85.00,145
323,85.00,145
324,85.00,145
325,85.00,145
326,85.00,145
327,85.00,145
328,85.00,145
329,85.00,145
330,85.00,145
331,85.00,145
332,85.00,145
333,85.00,145
334,85.00,145
335,85.00,145
336,85.00,145
337,85.00,145
338,85.00,145
339,85.00,145
340,85.00,145
341,85.00,145
342,85.00,145
343,85.00,145
344,85.00,145
345,85.00,145
346,85.00,145
347,85.00,145
348,85.00,146
349,85.00,145
350,85.00,145
351,85.00,145
352,85.00,145
353,85.00,145
354,85.00,145
355,85.00,145
356,85.00,145
357,85.00,145
358,85.00,145
359,85.00,146
360,85.00,145
361,85.00,145
362,85.00,145
363,85.00,145
364,85.00,145
365,85.00,146
366,85.00,145
367,85.00,145
368,85.00,145
369,85.00,145
370,85.00,145
371,85.00,145
372,85.00,145
373,85.00,145
374,85.00,145
375,85.00,145
376,85.00,145
377,85.00,145
378,85.00,145
379,85.00,145
380,85.00,145
381,85.00,145
382,85.00,145
383,85.00,145
385,85.00,145
386,85.00,145
387,85.00,145
388,85.00,145
389,85.00,145
390,85.00,145
391,85.00,145
392,85.00,145
393,85.00,145
394,85.00,145
395,85.00,145
396,85.00,145
397,85.00,145
398,85.00,146
399,85.00,145
400,85.00,146
401,85.00,145
402,85.00,145
403,85.00,145
404,85.00,146
405,85.00,145
406,85.00,145
407,85.00,145
408,85.00,145
409,85.00,145
410,85.00,145
411,85.00,146
412,85.00,145
413,85.00,145
414,85.00,145
415,85.00,145
416,85.00,145
417,85.00,146
418,85.00,145
419,85.00,145
420,85.00,145
421,85.00,145
422,85.00,145
423,85.00,145
424,85.00,145
425,85.00,145
426,85.00,145
427,85.00,145
428,85.00,145
429,85.00,145
430,85.00,145
431,85.00,145
432,85.00,145
433,85.00,145
434,85.00,145
435,85.00,145
436,85.00,145
437,85.00,145
438,85.00,146
439,85.00,145
440,85.00,145
441,85.00,145
442,85.00,145
443,85.00,145
444,85.00,145
445,85.00,145
446,85.00,145
447,85.00,145
448,85.00,145
449,85.00,145
450,85.00,145
451,85.00,145
452,85.00,145
453,85.00,145
454,85.00,145
455,85.00,145
456,85.00,145
457,85.00,145
458,85.00,145
459,85.00,145
460,85.00,145
462,85.00,145
463,85.00,145
464,85.00,145
465,85.00,145
466,85.00,145
467,85.00,145
468,85.00,145
469,85.00,145
470,85.00,145
471,85.00,145
472,85.00,145
473,85.00,145
474,85.00,145
475,85.00,145
476,85.00,145
477,85.00,145
478,85.00,145
479,85.00,146
480,85.00,144
481,85.00,145
482,85.00,145
483,85.00,145
484,85.00,145
485,85.00,145
486,85.00,145
487,85.00,145
488,85.00,145
489,85.00,145
490,85.00,145
491,85.00,146
492,85.00,145
493,85.00,145
494,85.00,145
495,85.00,145
496,85.00,145
497,85.00,145
498,85.00,145
499,85.00,145
500,85.00,146
501,85.00,145
502,85.00,145
503,85.00,145
504,85.00,146
505,85.00,145
506,85.00,145
507,85.00,145
508,85.00,145
509,85.00,145
510,85.00,145
511,85.00,145
512,85.00,145
513,85.00,145
514,85.00,145
515,85.00,145
516,85.00,145
517,85.00,145
518,85.00,146
519,85.00,145
520,85.00,145
521,85.00,145
522,85.00,145
523,85.00,145
524,85.00,145
525,85.00,145
526,85.00,145
527,85.00,145
528,85.00,145
529,85.00,146
530,85.00,145
531,85.00,145
532,85.00,145
533,85.00,145
534,85.00,145
535,85.00,145
536,85.00,145
537,85.00,145
538,85.00,145
540,85.00,145
541,85.00,145
542,85.00,145
543,85.00,145
544,85.00,145
