Time(s):,Tower T:,Tower TEMP,Room T:,Room TEMP,PID,P:,I:,D:,Mass: ,Mass/10,MassRate: ,Average (MassRate * 100),Freq: ,Frequency Average,Epsilon: 
10,22.5,,78.25,,135,300,33.75,49.8,0,0,0,,153000,,29.26
11,22.5,22.5,78.31,78.31,135,300,67.5,0,-0.03,-0.003,0,,153000,,29.26
12,22.44,22.44,78.37,78.37,135,300.5,100,1.13,-0.01,-0.001,0,,153000,,29.28
13,22.31,22.31,78.37,78.37,135,301.5,100,1.13,0.07,0.007,0,,152500,,29.41
13,22.37,22.37,78.37,78.37,135,301,100,1.13,-0.01,-0.001,0,,152500,,29.4
14,22.19,22.19,78.44,78.44,135,302.5,100,2.26,0.12,0.012,0,,152500,,29.45
15,22.12,22.12,78.44,78.44,135,303,100,1.13,0.15,0.015,0.02,,152500,,29.47
16,22.12,22.12,78.5,78.5,135,303,100,0,0.08,0.008,0.02,,153000,,29.37
17,22.06,22.06,78.5,78.5,135,303.5,100,1.13,0.03,0.003,0.01,,153000,,29.39
18,22,22,78.5,78.5,135,304,100,1.13,0,0,0.01,,152500,,29.51
18,22,22,78.56,78.56,135,304,100,0,0.04,0.004,0,,153000,,29.41
19,21.94,21.94,78.56,78.56,135,304.5,100,1.13,0.07,0.007,0,,153000,,29.43
20,21.94,21.94,78.56,78.56,135,304.5,100,0,0.04,0.004,0.01,,153000,,29.43
21,21.94,21.94,78.62,78.62,135,304.5,100,0,-0.01,-0.001,0.01,,153000,,29.43
22,21.87,21.87,78.62,78.62,135,305,100,1.13,0.03,0.003,0,,153500,,29.35
23,21.87,21.87,78.69,78.69,135,305,100,0,0.06,0.006,0,,153000,,29.45
23,21.87,21.87,78.69,78.69,135,305,100,0,0.06,0.006,-0.01,,153000,,29.45
24,21.87,21.87,78.75,78.75,135,305,100,0,0.15,0.015,-0.01,0.8,152500,152882.3529,29.55
25,21.94,21.94,78.75,78.75,135,304.5,100,-1.13,0.06,0.006,0.01,0.88,153000,152882.3529,29.43
26,21.94,21.94,78.75,78.75,135,304.5,100,0,0.17,0.017,0.01,1,152500,152882.3529,29.53
27,21.94,21.94,78.75,78.75,135,304.5,100,0,0.19,0.019,0.02,1.12,153000,152882.3529,29.43
28,22,22,78.81,78.81,135,304,100,0,0.28,0.028,0.03,1.16,153000,152897.0588,29.41
28,22,22,78.81,78.81,135,304,100,-1.13,0.3,0.03,0.02,1.2,153500,152911.7647,29.32
29,22,22,78.81,78.81,135,304,100,0,0.23,0.023,0.03,1.2,152500,152941.1765,29.51
30,22,22,78.81,78.81,135,304,100,0,0.19,0.019,0.02,1.12,153000,152955.8824,29.41
31,22,22,78.87,78.87,135,304,100,0,0.29,0.029,0.02,1.04,152500,152955.8824,29.51
32,22,22,78.87,78.87,135,304,100,0,0.29,0.029,0.03,1,152500,152955.8824,29.51
32,22,22,78.87,78.87,135,304,100,0,0.25,0.025,0.03,1.08,153500,152970.5882,29.32
34,22,22,78.94,78.94,135,304,100,0,0.24,0.024,0.01,1.2,153000,152970.5882,29.41
35,22,22,78.94,78.94,135,304,100,0,0.19,0.019,0.01,1.24,153000,152955.8824,29.41
36,22,22,78.94,78.94,135,304,100,0,0.21,0.021,0,1.24,152500,152955.8824,29.51
37,22,22,79,79,135,304,100,0,0.29,0.029,0,1.24,153000,152955.8824,29.41
37,22,22,79,79,135,304,100,0,0.31,0.031,0,1.28,153000,152926.4706,29.41
38,22,22,79,79,135,304,100,0,0.42,0.042,0,1.32,153000,152926.4706,29.41
39,22,22,79,79,135,304,100,0,0.48,0.048,0.03,1.4,153000,152926.4706,29.41
40,22,22,79,79,135,304,100,0,0.35,0.035,0.03,1.44,153000,152941.1765,29.41
41,21.94,21.94,79,79,135,304.5,100,1.13,0.43,0.043,0.01,1.4,153000,152926.4706,29.43
42,21.94,21.94,79.06,79.06,135,304.5,100,0,0.32,0.032,0.01,1.28,153000,152941.1765,29.43
42,21.94,21.94,79.06,79.06,135,304.5,100,0,0.29,0.029,0.01,1.12,153000,152941.1765,29.43
43,21.94,21.94,79.06,79.06,135,304.5,100,0,0.27,0.027,0.01,0.92,153500,152941.1765,29.33
44,21.94,21.94,79.12,79.12,135,304.5,100,0,0.33,0.033,0.01,0.76,153000,152926.4706,29.43
45,21.94,21.94,79.12,79.12,135,304.5,100,0,0.31,0.031,0.01,0.6,153000,152941.1765,29.43
46,21.94,21.94,79.12,79.12,135,304.5,100,0,0.25,0.025,0,0.44,153000,152941.1765,29.43
47,21.94,21.94,79.19,79.19,135,304.5,100,0,0.32,0.032,0,0.32,153000,152941.1765,29.43
47,21.87,21.87,79.19,79.19,135,305,100,1.13,0.24,0.024,-0.02,0.16,153000,152955.8824,29.45
49,21.87,21.87,79.25,79.25,135,305,100,0,0.16,0.016,-0.02,-1.249E-16,152500,152926.4706,29.55
50,21.87,21.87,79.25,79.25,135,305,100,0,0.13,0.013,-0.02,-0.04,153000,152926.4706,29.45
51,21.87,21.87,79.25,79.25,135,305,100,0,0.15,0.015,-0.02,-2.08167E-16,153000,152926.4706,29.45
52,21.87,21.87,79.31,79.31,135,305,100,0,0.22,0.022,-0.01,-2.08167E-16,152500,152941.1765,29.55
52,21.87,21.87,79.25,79.25,135,305,100,0,0.17,0.017,-0.02,0.08,153000,152941.1765,29.45
53,21.87,21.87,79.31,79.31,135,305,100,0,0.15,0.015,-0.01,0.16,153000,152941.1765,29.45
54,21.87,21.87,79.31,79.31,135,305,100,0,0.16,0.016,-0.01,0.24,153000,152941.1765,29.45
55,21.87,21.87,79.31,79.31,135,305,100,0,0.28,0.028,-0.01,0.12,152500,152941.1765,29.55
56,21.87,21.87,79.31,79.31,135,305,100,0,0.3,0.03,0,8.32667E-17,153000,152926.4706,29.45
57,21.87,21.87,79.31,79.31,135,305,100,0,0.42,0.042,0.02,0.04,153000,152911.7647,29.45
57,21.87,21.87,79.31,79.31,135,305,100,0,0.34,0.034,0,0.08,153000,152911.7647,29.45
58,21.87,21.87,79.31,79.31,135,305,100,0,0.38,0.038,0.02,0.08,153000,152926.4706,29.45
